h1,h2,h3,h4,t1,t2,t3,t4,t,abp1,abp2,abp3,abp4,abp5
1.029,0.213,0.291,0.078,0.184,0.328,0.392,0.112,0.6,81.25,95.2,89.55,86.7,82.35
1.012,0.213,0.311,0.098,0.168,0.312,0.384,0.104,0.584,82.35,96.05,88.4,85.8,79.45
1.024,0.275,0.381,0.106,0.184,0.32,0.416,0.112,0.592,79.45,93.1,87.8,83.7,78.1
1.01,0.274,0.386,0.112,0.192,0.328,0.4,0.12,0.6,78.1,91.8,87.8,84.95,78.15
0.988,0.261,0.362,0.101,0.192,0.328,0.4,0.112,0.592,78.15,90.8,87.75,84.65,77.75
1.001,0.251,0.358,0.107,0.192,0.328,0.408,0.12,0.6,77.75,94.5,88.4,86.05,79.65
1.059,0.273,0.362,0.089,0.192,0.328,0.4,0.12,0.6,79.65,94.7,90.15,87.7,81.4
1.028,0.179,0.257,0.078,0.176,0.32,0.384,0.112,0.6,81.4,98.05,89.35,87.4,80.6
1.048,0.25,0.343,0.093,0.184,0.32,0.392,0.104,0.592,80.6,92.25,88.65,85.8,78.5
1.048,0.279,0.394,0.115,0.192,0.328,0.4,0.12,0.6,78.5,92.1,88.2,85.3,78.15
1.027,0.279,0.379,0.1,0.192,0.328,0.4,0.12,0.592,78.15,91.85,88,85,77.2
1.043,0.273,0.37,0.097,0.2,0.336,0.408,0.128,0.6,77.2,92.2,88.1,85.35,77.85
1.045,0.271,0.362,0.091,0.2,0.344,0.416,0.128,0.608,77.85,95.3,89.9,86.8,79.85
1.066,0.255,0.341,0.086,0.192,0.336,0.4,0.12,0.608,79.85,96.25,90.95,87.9,80.7
0.989,0.16,0.24,0.08,0.184,0.328,0.392,0.112,0.592,80.7,93.65,89.5,86.25,78.9
1.023,0.276,0.384,0.108,0.184,0.312,0.4,0.112,0.584,78.9,95.05,87.55,85.35,77.25
1.018,0.282,0.387,0.105,0.2,0.336,0.416,0.128,0.608,77.25,93.9,87.85,84.75,77.75
1.036,0.265,0.371,0.106,0.192,0.328,0.408,0.12,0.592,77.75,92.45,87.8,84.35,77.45
1.015,0.245,0.344,0.099,0.2,0.336,0.408,0.128,0.6,77.45,91.15,88.3,85.65,79.5
1.068,0.261,0.36,0.099,0.192,0.328,0.4,0.12,0.592,79.5,93.95,89.6,87.5,81.2
1.066,0.227,0.299,0.072,0.184,0.328,0.392,0.112,0.6,81.2,96.6,89.9,87.5,82.1
1.023,0.203,0.29,0.087,0.176,0.32,0.384,0.104,0.576,82.1,94.35,89,86.4,78.1
1.044,0.303,0.386,0.083,0.2,0.336,0.408,0.128,0.616,78.1,93,88.35,85.7,79.6
1.027,0.274,0.375,0.101,0.184,0.32,0.392,0.112,0.576,79.6,91.5,87.85,84.8,76.85
1.013,0.254,0.354,0.1,0.208,0.344,0.416,0.136,0.6,76.85,91.25,87.85,84.65,76.8
1.041,0.284,0.382,0.098,0.208,0.344,0.424,0.136,0.616,76.8,92.45,88.5,85.45,79.55
1.068,0.261,0.353,0.092,0.192,0.328,0.4,0.12,0.6,79.55,93.95,90,87.35,80.95
1.026,0.156,0.231,0.075,0.184,0.328,0.392,0.112,0.592,80.95,94.6,89.35,86.5,78.95
1.02,0.232,0.331,0.099,0.192,0.328,0.4,0.112,0.592,78.95,91.8,88.2,85.35,77.55
1.043,0.28,0.382,0.102,0.2,0.336,0.416,0.128,0.6,77.55,91.4,87.85,84.25,77.4
1.013,0.259,0.362,0.103,0.2,0.328,0.408,0.12,0.584,77.4,89.9,87.35,84.25,76.4
